taxa;x;y
Asperula purpurea (L.) Ehrend.;2720316;1095844
Asperula purpurea (L.) Ehrend.;2717361;1092717
Asperula purpurea (L.) Ehrend.;2722972;1080643
Asperula purpurea (L.) Ehrend.;2722842;1080659
Asperula purpurea (L.) Ehrend.;2716654;1092527
Asperula purpurea (L.) Ehrend.;2716670;1092532
Asperula purpurea (L.) Ehrend.;2716966;1085727
Asperula purpurea (L.) Ehrend.;2716665;1092567
Asperula purpurea (L.) Ehrend.;2716701;1093295
Asperula purpurea (L.) Ehrend.;2717044;1082444
Asperula purpurea (L.) Ehrend.;2717184;1085361
Asperula purpurea (L.) Ehrend.;2716577;1085629
Asperula purpurea (L.) Ehrend.;2717555;1083408
Asperula purpurea (L.) Ehrend.;2716669;1092561
Asperula purpurea (L.) Ehrend.;2721293;1097224
Asperula purpurea (L.) Ehrend.;2716673;1093287
Asperula purpurea (L.) Ehrend.;2720944;1096030
Asperula purpurea (L.) Ehrend.;2719900;1091618
Asperula purpurea (L.) Ehrend.;2721033;1091335
Asperula purpurea (L.) Ehrend.;2720789;1095999
Asperula purpurea (L.) Ehrend.;2720974;1096779
Asperula purpurea (L.) Ehrend.;2719821;1097352
Asperula purpurea (L.) Ehrend.;2719819;1097421
Asperula purpurea (L.) Ehrend.;2720763;1095983
Asperula purpurea (L.) Ehrend.;2721128;1091322
Asperula purpurea (L.) Ehrend.;2720702;1097169
Asperula purpurea (L.) Ehrend.;2712070;1091284
Asperula purpurea (L.) Ehrend.;2720885;1096260
Asperula purpurea (L.) Ehrend.;2720468;1096484
Asperula purpurea (L.) Ehrend.;2720305;1097102
Asperula purpurea (L.) Ehrend.;2721702;1098128
Asperula purpurea (L.) Ehrend.;2720210;1097180
Asperula purpurea (L.) Ehrend.;2720737;1097097
Asperula purpurea (L.) Ehrend.;2719857;1095594
Asperula purpurea (L.) Ehrend.;2715636;1083391
Asperula purpurea (L.) Ehrend.;2711687;1090939
Asperula purpurea (L.) Ehrend.;2716652;1092635
Asperula purpurea (L.) Ehrend.;2722853;1080657
Asperula purpurea (L.) Ehrend.;2722864;1080652
Asperula purpurea (L.) Ehrend.;2716476;1092239
Asperula purpurea (L.) Ehrend.;2716688;1092602
Asperula purpurea (L.) Ehrend.;2719510;1092280
Asperula purpurea (L.) Ehrend.;2720134;1096252
Asperula purpurea (L.) Ehrend.;2719894;1096215
Asperula purpurea (L.) Ehrend.;2720230;1096332
Asperula purpurea (L.) Ehrend.;2720094;1096242
Asperula purpurea (L.) Ehrend.;2719950;1096236
Asperula purpurea (L.) Ehrend.;2721193;1088840
Asperula purpurea (L.) Ehrend.;2723024;1081028
Asperula purpurea (L.) Ehrend.;2719982;1092046
Asperula purpurea (L.) Ehrend.;2720045;1096257
